0.052 0.048 0.038 836 84.32 81.72
0.054 0.046 0.037 847 84.04 79.43
0.052 0.046 0.037 782 84.89 80.83
0.052 0.046 0.038 821 83.45 81.05
0.054 0.046 0.037 777 85.52 81.85
0.054 0.045 0.039 792 86.08 81.86
0.049 0.049 0.037 819 86.24 82.32
0.053 0.048 0.037 802 85.74 81.69
0.051 0.049 0.037 807 85.97 82.69
0.055 0.046 0.038 840 83.76 81.36
0.053 0.047 0.036 784 80.48 79.26
0.053 0.046 0.036 786 80.43 79.02
0.052 0.046 0.036 779 80.68 79.47
0.052 0.047 0.036 739 81.20 78.71
0.053 0.046 0.036 778 80.85 79.57
0.052 0.047 0.035 735 81.50 80.40
0.055 0.046 0.036 762 80.01 79.47
0.053 0.047 0.035 708 81.67 80.40
0.052 0.047 0.036 743 80.71 78.97
0.054 0.047 0.038 725 80.79 79.06
0.047 0.045 0.041 766 82.14 81.84
0.047 0.047 0.039 678 82.20 80.36
0.049 0.043 0.040 720 81.54 81.44
0.049 0.044 0.040 700 81.98 81.55
0.048 0.044 0.041 699 82.05 81.34
0.047 0.046 0.040 681 81.87 81.79
0.051 0.044 0.039 669 82.91 80.76
0.050 0.043 0.039 657 82.77 80.81
0.049 0.047 0.039 685 82.41 81.68
0.048 0.046 0.041 684 82.61 81.91
0.054 0.047 0.035 733 85.03 81.75
0.053 0.048 0.035 800 84.74 81.24
0.054 0.048 0.034 722 84.51 81.80
0.053 0.047 0.035 708 84.13 82.39
0.054 0.047 0.035 701 85.08 82.29
0.054 0.048 0.035 748 83.69 81.97
0.053 0.047 0.035 717 83.77 81.88
0.054 0.047 0.035 724 84.68 82.29
0.054 0.047 0.035 712 84.87 82.39
0.054 0.047 0.035 725 84.92 82.25
0.051 0.050 0.036 808 81.55 77.26
0.053 0.047 0.034 782 80.66 77.48
0.051 0.048 0.034 777 81.26 77.41
0.051 0.047 0.033 623 81.81 77.60
0.053 0.047 0.034 614 81.92 76.12
0.054 0.047 0.033 613 81.63 77.16
0.051 0.048 0.035 604 82.09 77.08
0.054 0.047 0.033 602 82.20 77.03
0.051 0.051 0.033 618 81.85 77.79
0.053 0.047 0.034 746 80.46 77.03
0.054 0.048 0.039 934 79.23 78.68
0.054 0.049 0.038 880 78.47 79.28
0.054 0.051 0.038 970 78.65 77.00
0.052 0.050 0.039 944 78.86 78.67
0.054 0.047 0.038 901 78.78 77.50
0.053 0.049 0.037 922 79.19 77.34
0.052 0.048 0.039 910 80.41 79.44
0.053 0.049 0.037 954 79.46 79.38
0.053 0.050 0.039 956 79.13 78.54
0.053 0.048 0.039 974 79.77 79.16
0.055 0.051 0.032 755 84.69 81.92
0.054 0.049 0.031 735 84.64 84.19
0.055 0.048 0.031 729 83.21 80.76
0.055 0.051 0.031 728 83.71 80.71
0.051 0.051 0.032 703 83.64 83.84
0.052 0.048 0.031 711 83.57 82.68
0.052 0.048 0.032 731 84.99 82.61
0.053 0.050 0.033 779 85.02 83.71
0.051 0.050 0.032 761 83.58 81.65
0.053 0.051 0.032 724 86.91 84.87
0.056 0.042 0.039 766 88.25 86.78
0.055 0.042 0.039 768 88.90 86.61
0.055 0.043 0.039 764 87.99 86.16
0.054 0.044 0.041 752 87.65 85.77
0.054 0.044 0.037 766 88.17 85.07
0.054 0.043 0.039 771 88.35 85.65
0.055 0.042 0.037 731 89.16 86.07
0.055 0.043 0.041 735 88.94 86.62
0.052 0.043 0.041 744 88.28 86.16
0.053 0.044 0.040 766 87.11 84.86
0.051 0.047 0.040 889 88.87 84.77
0.052 0.046 0.040 812 90.71 85.55
0.054 0.045 0.040 819 90.03 86.61
0.051 0.046 0.040 806 90.71 85.44
0.055 0.045 0.041 849 90.15 85.96
0.051 0.046 0.040 833 89.79 86.50
0.052 0.045 0.040 812 88.91 85.18
0.054 0.043 0.040 846 89.46 85.00
0.051 0.046 0.040 796 90.83 85.99
0.051 0.047 0.040 798 90.43 86.21
0.055 0.045 0.039 1008 89.75 84.37
0.053 0.047 0.037 930 89.36 84.76
0.054 0.045 0.039 904 89.08 84.99
0.054 0.045 0.037 862 89.21 85.80
0.053 0.044 0.041 921 90.73 85.49
0.055 0.043 0.039 880 89.83 85.45
0.054 0.045 0.039 889 88.91 86.22
0.053 0.044 0.040 863 88.77 84.35
0.051 0.045 0.039 811 88.20 84.60
0.055 0.044 0.039 865 88.65 85.10
0.053 0.042 0.036 742 89.20 78.49
0.053 0.042 0.036 766 88.47 76.82
0.053 0.042 0.036 757 88.88 76.88
0.051 0.042 0.036 748 87.65 80.60
0.051 0.044 0.036 813 88.44 81.03
0.051 0.044 0.036 783 87.37 78.52
0.053 0.042 0.036 715 89.98 81.49
0.051 0.042 0.036 750 87.41 81.13
0.053 0.044 0.036 767 87.70 79.88
0.053 0.043 0.036 788 89.61 78.51
0.056 0.044 0.038 797 85.83 85.68
0.056 0.043 0.037 826 84.68 82.39
0.056 0.042 0.037 805 84.46 82.14
0.054 0.044 0.038 763 84.03 81.43
0.054 0.042 0.037 767 84.04 82.86
0.054 0.044 0.039 746 84.20 81.83
0.054 0.045 0.038 812 85.09 83.34
0.049 0.049 0.037 807 84.05 81.08
0.054 0.046 0.037 786 85.18 82.79
0.053 0.047 0.038 790 83.05 83.56
0.055 0.047 0.036 839 79.00 76.27
0.060 0.048 0.037 829 78.58 77.62
0.058 0.048 0.036 871 77.68 77.15
0.057 0.047 0.035 840 78.11 76.02
0.055 0.047 0.034 801 76.95 74.87
0.057 0.047 0.036 826 77.95 76.83
0.056 0.047 0.037 855 78.42 75.34
0.057 0.048 0.036 826 76.57 75.87
0.056 0.046 0.035 810 78.05 76.27
0.055 0.048 0.036 940 78.81 77.12
0.053 0.050 0.037 829 92.30 88.13
0.050 0.050 0.038 809 92.05 89.30
0.051 0.049 0.036 759 93.17 88.75
0.054 0.046 0.038 769 92.90 88.52
0.051 0.049 0.036 725 93.22 88.50
0.051 0.050 0.035 766 92.96 88.41
0.051 0.050 0.036 748 92.28 88.64
0.051 0.050 0.036 728 93.43 89.58
0.050 0.050 0.036 767 92.60 89.20
0.055 0.046 0.035 753 91.94 88.62
0.051 0.047 0.038 950 93.31 86.20
0.051 0.046 0.039 828 93.81 86.59
0.051 0.047 0.039 843 94.33 87.74
0.051 0.046 0.038 814 93.52 87.71
0.051 0.045 0.039 884 94.36 87.31
0.051 0.045 0.037 856 92.41 86.66
0.051 0.045 0.037 850 94.25 87.32
0.051 0.045 0.038 811 93.79 86.16
0.051 0.044 0.038 873 94.30 86.79
0.049 0.044 0.039 854 94.49 87.04
0.054 0.047 0.036 905 91.28 80.26
0.054 0.048 0.038 916 91.23 83.43
0.054 0.046 0.039 893 91.34 81.16
0.054 0.047 0.038 894 90.94 82.26
0.053 0.047 0.038 881 92.41 83.37
0.053 0.050 0.038 845 92.43 82.86
0.053 0.050 0.036 849 91.64 83.39
0.055 0.047 0.036 827 90.87 83.83
0.052 0.049 0.036 843 90.51 81.89
0.052 0.049 0.036 904 91.59 83.37
